File_Name,img_width,img_height,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),total processing time(s),people_detected,faces_detected
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000001.jpg,1904,1071,3.1536,0.0518,1.7366,0.0004,0.094,1.8828,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000002.jpg,1904,1071,3.3477,0.0521,1.6791,0.2988,0.0984,2.1284,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000003.jpg,1904,1071,3.3064,0.0511,1.6621,0.0004,0.0964,1.8101,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000004.jpg,1904,1071,3.3123,0.0528,1.672,0.0004,0.0963,1.8216,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000005.jpg,1904,1071,3.3017,0.0515,1.737,0.0004,0.0993,1.8883,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000006.jpg,1904,1071,3.2965,0.0564,1.6812,0.0004,0.0986,1.8367,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000007.jpg,1904,1071,3.2202,0.0544,1.716,0.0004,0.094,1.8649,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000008.jpg,1904,1071,3.2818,0.0536,1.6945,0.2981,0.0973,2.1435,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000009.jpg,1904,1071,3.279,0.0556,1.7089,0.0004,0.097,1.8619,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000010.jpg,1904,1071,3.1958,0.0529,1.6236,0.0004,0.095,1.772,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000011.jpg,1904,1071,3.1893,0.0541,1.7046,0.0004,0.0975,1.8567,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000012.jpg,1904,1071,3.3865,0.0623,1.7997,0.3169,0.095,2.274,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000013.jpg,1904,1071,3.2108,0.0558,1.7055,0.0004,0.0968,1.8586,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000014.jpg,1904,1071,3.287,0.0553,1.6646,0.0005,0.1015,1.822,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000015.jpg,1904,1071,3.339,0.0513,1.6789,0.0004,0.0957,1.8264,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000016.jpg,1904,1071,3.2408,0.0523,1.6716,0.0004,0.0997,1.824,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000017.jpg,1904,1071,3.1926,0.0532,1.6458,0.0005,0.097,1.7965,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000018.jpg,1904,1071,3.2837,0.0538,1.6728,0.0004,0.0993,1.8264,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000019.jpg,1904,1071,3.2295,0.0542,1.6597,0.0004,0.107,1.8214,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000020.jpg,1904,1071,3.1966,0.0533,1.6612,0.0005,0.0988,1.8138,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000021.jpg,1904,1071,3.3613,0.0539,1.6644,0.2835,0.0999,2.1017,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000022.jpg,1904,1071,3.2372,0.0543,1.6417,0.2855,0.0977,2.0793,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000023.jpg,1904,1071,3.3983,0.0523,1.6287,0.284,0.0996,2.0646,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000024.jpg,1904,1071,3.2233,0.0562,1.6945,0.2872,0.0967,2.1347,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000071_03240_v/0000025.jpg,1904,1071,3.3094,0.0517,1.7081,0.0004,0.0998,1.86,0,0
