File_Name,img_width,img_height,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),total processing time(s),people_detected,faces_detected
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000001.jpg,1904,1071,3.4214,0.0615,1.6905,0.0005,0.0001,1.7527,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000002.jpg,1904,1071,3.311,0.0614,1.6825,0.0004,0.0001,1.7446,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000003.jpg,1904,1071,3.1886,0.0608,1.6606,0.0004,0.0001,1.7219,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000004.jpg,1904,1071,3.294,0.0591,1.7039,0.0004,0.0001,1.7636,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000005.jpg,1904,1071,3.1685,0.0598,1.6322,0.0004,0.0001,1.6927,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000006.jpg,1904,1071,3.2203,0.0608,1.6579,0.0004,0.0001,1.7193,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000007.jpg,1904,1071,3.2982,0.0603,1.6766,0.0004,0.0001,1.7374,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000008.jpg,1904,1071,3.3555,0.0611,1.6642,1.4082,0.0002,3.1339,1,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000009.jpg,1904,1071,3.2334,0.0622,1.6942,0.0004,0.0001,1.757,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000010.jpg,1904,1071,3.2455,0.0603,1.6908,0.0004,0.0001,1.7517,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000011.jpg,1904,1071,3.3648,0.0594,1.7001,1.1381,0.0003,2.8979,1,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000012.jpg,1904,1071,3.1837,0.0602,1.6365,1.5403,0.0001,3.2372,2,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000013.jpg,1904,1071,3.2197,0.0623,1.7087,1.2263,0.0002,2.9976,1,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000014.jpg,1904,1071,3.3331,0.0603,1.7111,1.4102,0.0002,3.1818,1,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000015.jpg,1904,1071,3.2898,0.0604,1.7146,1.8831,0.0002,3.6584,3,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000016.jpg,1904,1071,3.3252,0.0615,1.6872,0.0004,0.0001,1.7493,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000017.jpg,1904,1071,3.2321,0.0637,1.67,0.283,0.0001,2.0169,1,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000018.jpg,1904,1071,3.3762,0.0611,1.6527,0.0004,0.0001,1.7144,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000019.jpg,1904,1071,3.371,0.0584,1.6361,0.0005,0.0001,1.6952,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000020.jpg,1904,1071,3.2465,0.0588,1.6562,0.0004,0.0001,1.7156,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000021.jpg,1904,1071,3.2147,0.0601,1.6948,0.0004,0.0001,1.7555,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000022.jpg,1904,1071,3.2803,0.0634,1.6862,0.284,0.0001,2.0337,1,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000023.jpg,1904,1071,3.3501,0.0618,1.7071,0.0005,0.0001,1.7695,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000024.jpg,1904,1071,3.2218,0.0623,1.661,0.0005,0.0001,1.7238,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000025.jpg,1904,1071,3.2428,0.0603,1.6872,0.0004,0.0001,1.7481,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000026.jpg,1904,1071,3.1923,0.0605,1.6833,0.0004,0.0001,1.7444,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000027.jpg,1904,1071,3.1941,0.0589,1.6148,0.0004,0.0001,1.6742,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000028.jpg,1904,1071,3.2844,0.061,1.6628,0.0004,0.0001,1.7243,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000029.jpg,1904,1071,3.3647,0.0637,1.6806,0.0004,0.0001,1.7449,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000079_00480_v/0000030.jpg,1904,1071,3.1424,0.0605,1.677,0.0004,0.0001,1.7381,0,0
