File_Name,img_width,img_height,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),total processing time(s),people_detected,faces_detected
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000001.jpg,1344,756,3.2883,0.0333,1.6939,1.7724,0.0001,3.4998,5,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000002.jpg,1344,756,3.4017,0.0329,1.7547,1.5377,0.0001,3.3255,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000003.jpg,1344,756,3.3278,0.0309,1.7119,0.8287,0.0001,2.5717,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000004.jpg,1344,756,3.2658,0.0313,1.6997,1.7005,0.0001,3.4316,5,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000005.jpg,1344,756,3.21,0.0308,1.6631,0.8489,0.0001,2.5431,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000006.jpg,1344,756,3.4013,0.0321,1.7109,0.8581,0.0001,2.6012,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000007.jpg,1344,756,3.2411,0.031,1.6918,1.3562,0.0002,3.0792,4,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000008.jpg,1344,756,3.2647,0.0315,1.7009,0.0004,0.0001,1.7331,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000009.jpg,1344,756,3.2456,0.0309,1.6926,0.4198,0.0001,2.1435,2,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000010.jpg,1344,756,3.2577,0.0309,1.6676,0.0004,0.0001,1.699,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000011.jpg,1344,756,3.2222,0.0293,1.7124,0.9683,0.0001,2.7102,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000012.jpg,1344,756,3.2162,0.0306,1.6775,0.0004,0.0001,1.7087,0,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000013.jpg,1344,756,3.2579,0.0308,1.6871,0.6035,0.0001,2.3215,1,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000014.jpg,1344,756,3.3729,0.0311,1.7198,1.2243,0.0001,2.9754,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000015.jpg,1344,756,3.3258,0.0319,1.6483,0.6425,0.0001,2.3228,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000016.jpg,1344,756,3.1085,0.0324,1.6556,1.1995,0.0001,2.8877,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000017.jpg,1344,756,3.2334,0.0297,1.6258,1.1318,0.0001,2.7874,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000018.jpg,1344,756,3.2134,0.0299,1.6172,1.3501,0.0001,2.9973,5,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000019.jpg,1344,756,3.1984,0.0307,1.606,0.6178,0.0001,2.2546,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000020.jpg,1344,756,3.2795,0.0309,1.6186,1.386,0.0001,3.0356,5,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000021.jpg,1344,756,3.1164,0.032,1.6455,0.8365,0.0001,2.5141,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000022.jpg,1344,756,3.226,0.0307,1.6613,1.2971,0.0001,2.9893,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000023.jpg,1344,756,3.297,0.0293,1.6699,0.6161,0.0001,2.3155,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000024.jpg,1344,756,3.3087,0.0318,1.6629,1.5903,0.0001,3.2852,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000025.jpg,1344,756,3.1652,0.0318,1.6553,0.2091,0.0001,1.8964,1,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000026.jpg,1344,756,3.2609,0.0303,1.6778,0.6384,0.0001,2.3466,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000027.jpg,1344,756,3.2441,0.0324,1.6847,0.2331,0.0001,1.9503,1,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000028.jpg,1344,756,3.2292,0.03,1.6699,0.6404,0.0001,2.3405,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000029.jpg,1344,756,3.152,0.0309,1.6883,0.6438,0.0001,2.3632,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000030.jpg,1344,756,3.2734,0.0296,1.6372,0.8772,0.0001,2.5441,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000031.jpg,1344,756,3.3528,0.0306,1.709,0.6609,0.0001,2.4006,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000032.jpg,1344,756,3.3848,0.0317,1.6355,0.3962,0.0001,2.0635,2,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000033.jpg,1344,756,3.2009,0.0301,1.632,0.9426,0.0001,2.6049,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000034.jpg,1344,756,3.2973,0.0315,1.6325,1.2686,0.0001,2.9328,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000035.jpg,1344,756,3.2655,0.0308,1.6615,1.1935,0.0001,2.8859,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000036.jpg,1344,756,3.3269,0.0305,1.7107,1.0243,0.0002,2.7658,3,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000037.jpg,1344,756,3.3241,0.0306,1.6693,1.3749,0.0001,3.0749,5,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000038.jpg,1344,756,3.266,0.0313,1.7057,1.1684,0.0001,2.9056,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000039.jpg,1344,756,3.252,0.0308,1.686,0.9663,0.0001,2.6833,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000040.jpg,1344,756,3.3176,0.0303,1.6604,1.3966,0.0002,3.0876,5,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000041.jpg,1344,756,3.3977,0.0302,1.692,1.3955,0.0001,3.1178,5,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000042.jpg,1344,756,3.2931,0.0311,1.6943,1.338,0.0002,3.0637,5,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000043.jpg,1344,756,3.2648,0.0299,1.6226,1.2501,0.0001,2.9028,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000044.jpg,1344,756,3.2929,0.0288,1.7099,1.3535,0.0002,3.0924,5,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000045.jpg,1344,756,3.273,0.0299,1.6758,1.4239,0.0002,3.1299,5,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000046.jpg,1344,756,3.2931,0.0309,1.7077,1.4955,0.0002,3.2343,5,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000047.jpg,1344,756,3.2652,0.032,1.6745,0.8594,0.0001,2.566,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000048.jpg,1344,756,3.1748,0.031,1.7015,1.5271,0.0001,3.2597,5,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000049.jpg,1344,756,3.2507,0.0303,1.6633,1.271,0.0001,2.9647,6,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000049.jpg,1344,756,3.2507,0.0303,1.6633,1.271,0.0001,2.9647,6,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000050.jpg,1344,756,3.3769,0.0315,1.7307,0.4342,0.0001,2.1966,2,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000051.jpg,1344,756,3.4683,0.0273,1.6989,1.8254,0.0001,3.5517,7,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000052.jpg,1344,756,3.3475,0.0313,1.6549,0.8431,0.0001,2.5294,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000053.jpg,1344,756,3.263,0.031,1.703,1.4023,0.0001,3.1365,5,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000054.jpg,1344,756,3.2567,0.0307,1.6565,1.4805,0.0001,3.1678,5,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000084_00000_v/0000055.jpg,1344,756,3.3104,0.0305,1.6385,1.477,0.0001,3.1462,5,0
