File_Name,img_width,img_height,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),total processing time(s),people_detected,faces_detected
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000001.jpg,1344,756,3.2379,0.0316,1.6907,0.8006,0.047,2.5698,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000002.jpg,1344,756,3.26,0.0288,1.864,0.6109,0.0496,2.5533,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000003.jpg,1344,756,3.3184,0.0309,1.6335,0.3981,0.0471,2.1097,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000004.jpg,1344,756,3.2836,0.0309,1.6935,0.8134,0.0474,2.5852,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000005.jpg,1344,756,3.2856,0.0288,1.6905,0.6217,0.0473,2.3885,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000006.jpg,1344,756,3.2794,0.0309,1.616,0.7988,0.0489,2.4946,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000007.jpg,1344,756,3.2413,0.0284,1.6761,0.7568,0.0454,2.5067,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000008.jpg,1344,756,3.2055,0.0286,1.6364,0.3853,0.0456,2.096,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000009.jpg,1344,756,3.1689,0.0282,1.6272,0.3746,0.0453,2.0754,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000010.jpg,1344,756,3.2011,0.0291,1.8415,0.4888,0.0509,2.4104,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000011.jpg,1344,756,3.2419,0.0328,1.7811,0.5985,0.0471,2.4595,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000012.jpg,1344,756,3.2995,0.0296,1.6924,0.6063,0.048,2.3764,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000013.jpg,1344,756,3.2403,0.0288,1.6329,0.6094,0.0459,2.3171,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000014.jpg,1344,756,3.3077,0.029,1.7103,0.5934,0.0461,2.3788,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000015.jpg,1344,756,3.3586,0.0331,1.7073,0.6135,0.0459,2.3999,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000016.jpg,1344,756,3.2898,0.0293,1.7581,0.806,0.0495,2.643,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000017.jpg,1344,756,3.3107,0.0296,1.7116,0.7999,0.0469,2.588,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000018.jpg,1344,756,3.2751,0.0298,1.6727,0.8044,0.0468,2.5537,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000019.jpg,1344,756,3.2713,0.0311,1.6885,1.0341,0.0452,2.7989,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000020.jpg,1344,756,3.2272,0.0291,1.6563,1.1918,0.0459,2.9232,6,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000021.jpg,1344,756,3.2232,0.0313,1.6486,0.7859,0.0456,2.5116,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000022.jpg,1344,756,3.2583,0.0303,1.6811,0.8018,0.0473,2.5605,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000023.jpg,1344,756,3.2469,0.03,1.7304,1.0143,0.0455,2.8202,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000024.jpg,1344,756,3.2988,0.0287,1.6317,0.7902,0.0468,2.4974,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000025.jpg,1344,756,3.3505,0.0309,1.7628,0.7952,0.0459,2.6349,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000026.jpg,1344,756,3.2945,0.0317,1.7094,0.6053,0.052,2.3984,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000027.jpg,1344,756,3.3467,0.0287,1.7346,0.8037,0.0508,2.6178,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000028.jpg,1344,756,3.3329,0.03,1.7071,0.6064,0.0491,2.3926,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000029.jpg,1344,756,3.2831,0.0303,1.6426,1.0027,0.0461,2.7218,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000030.jpg,1344,756,3.1633,0.0284,1.6889,0.7859,0.0454,2.5486,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000031.jpg,1344,756,3.3015,0.031,1.6936,0.992,0.0489,2.7655,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000032.jpg,1344,756,3.4139,0.037,1.9543,0.8689,0.0509,2.9111,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000033.jpg,1344,756,3.3357,0.0293,1.6445,0.7961,0.0508,2.5207,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000034.jpg,1344,756,3.1314,0.0314,1.6609,0.9614,0.0457,2.6994,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000035.jpg,1344,756,3.283,0.0318,1.6487,1.0205,0.0476,2.7487,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000036.jpg,1344,756,3.3058,0.029,1.6772,0.7894,0.0508,2.5465,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000037.jpg,1344,756,3.3355,0.0295,1.7756,0.5783,0.0459,2.4294,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000038.jpg,1344,756,3.2618,0.0291,1.6352,1.0468,0.0523,2.7634,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000039.jpg,1344,756,3.2312,0.031,1.694,1.039,0.051,2.8151,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000040.jpg,1344,756,3.2478,0.0285,1.6896,0.7975,0.0477,2.5634,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000041.jpg,1344,756,3.2577,0.03,1.6618,0.7952,0.0461,2.5332,4,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000042.jpg,1344,756,3.2574,0.0319,1.7687,0.6049,0.0512,2.4567,3,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000043.jpg,1344,756,3.2648,0.0315,1.6853,0.8109,0.046,2.5737,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000044.jpg,1344,756,3.2363,0.0315,1.631,1.0171,0.0475,2.7273,5,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000045.jpg,1344,756,3.2574,0.0303,1.6789,0.4201,0.0509,2.1803,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000046.jpg,1344,756,3.3461,0.0321,1.6717,0.6023,0.0489,2.355,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000047.jpg,1344,756,3.3177,0.031,1.7032,0.6074,0.0464,2.3881,3,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000048.jpg,1344,756,3.2401,0.0288,1.6404,0.3898,0.0495,2.1085,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000049.jpg,1344,756,3.2531,0.0289,1.6238,0.8327,0.0479,2.5334,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01392_v/0000050.jpg,1344,756,3.2002,0.0288,1.7168,1.201,0.048,2.9947,6,0
