File_Name,img_width,img_height,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),total processing time(s),people_detected,faces_detected
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000001.jpg,1904,1071,3.1563,0.0555,1.666,2.0468,0.102,3.8704,3,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000002.jpg,1904,1071,3.195,0.0551,1.6419,1.11,0.1033,2.9103,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000003.jpg,1904,1071,3.2692,0.0583,1.6542,0.8504,0.098,2.6611,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000004.jpg,1904,1071,3.1738,0.0557,1.6526,0.5621,0.1013,2.3718,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000005.jpg,1904,1071,3.1829,0.0574,1.6626,0.8315,0.0979,2.6495,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000006.jpg,1904,1071,3.1042,0.0554,1.6982,0.5925,0.1067,2.4528,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000007.jpg,1904,1071,3.3792,0.0539,1.7236,0.5625,0.1083,2.4484,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000008.jpg,1904,1071,3.2852,0.0609,1.6211,1.4033,0.1,3.1853,1,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000009.jpg,1904,1071,3.2608,0.0567,1.8065,0.5517,0.1123,2.5273,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000010.jpg,1904,1071,3.1982,0.0571,1.6753,1.4366,0.1046,3.2737,1,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000011.jpg,1904,1071,3.2443,0.0591,1.6518,1.3864,0.1082,3.2056,1,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000012.jpg,1904,1071,3.2391,0.0583,1.7022,0.0004,0.1046,1.8656,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000013.jpg,1904,1071,3.3453,0.0557,1.7164,1.4758,0.1036,3.3516,1,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000014.jpg,1904,1071,3.2512,0.0557,1.8004,0.0005,0.1031,1.9598,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000015.jpg,1904,1071,3.2609,0.057,1.6924,1.4218,0.1009,3.2722,1,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000016.jpg,1904,1071,3.2036,0.0551,1.6403,0.0005,0.1,1.796,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000017.jpg,1904,1071,3.2686,0.0563,1.7014,1.4328,0.1055,3.2961,1,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000018.jpg,1904,1071,3.2121,0.0574,1.616,1.4799,0.1012,3.2547,1,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000019.jpg,1904,1071,3.1819,0.055,1.6516,1.8198,0.1048,3.6313,2,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000020.jpg,1904,1071,3.235,0.0557,1.6624,2.0618,0.0967,3.8767,3,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000021.jpg,1904,1071,3.2024,0.0553,1.691,2.2674,0.0974,4.1113,4,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000022.jpg,1904,1071,3.2997,0.0597,1.6091,0.5653,0.1032,2.3374,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000023.jpg,1904,1071,3.2325,0.0565,1.6553,0.8821,0.1068,2.7009,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000024.jpg,1904,1071,3.4255,0.0685,1.7472,1.1431,0.099,3.0579,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000025.jpg,1904,1071,3.1789,0.0581,1.7036,0.5771,0.1045,2.4434,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000026.jpg,1904,1071,3.3008,0.0591,1.6954,0.2973,0.1021,2.154,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000027.jpg,1904,1071,3.3386,0.0551,1.6525,0.0004,0.0976,1.8056,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000028.jpg,1904,1071,3.3648,0.0568,1.6866,0.5944,0.1003,2.4381,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000029.jpg,1904,1071,3.1698,0.0568,1.6968,0.6018,0.1082,2.4636,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000030.jpg,1904,1071,3.2896,0.0576,1.827,1.7046,0.1009,3.6901,6,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000031.jpg,1904,1071,3.2595,0.0617,1.7505,1.6874,0.1018,3.6016,6,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000032.jpg,1904,1071,3.3064,0.0563,1.686,1.149,0.1107,3.002,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000033.jpg,1904,1071,3.2206,0.0549,1.6621,1.4003,0.104,3.2213,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000034.jpg,1904,1071,3.2662,0.0542,1.6688,0.8646,0.0971,2.6847,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000035.jpg,1904,1071,3.2353,0.0552,1.7065,0.8392,0.1015,2.7024,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000036.jpg,1904,1071,3.2214,0.0579,1.6714,0.5496,0.0994,2.3784,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000037.jpg,1904,1071,3.2783,0.0563,1.623,0.2745,0.098,2.0519,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000038.jpg,1904,1071,3.2497,0.0578,1.661,0.587,0.1021,2.408,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000039.jpg,1904,1071,3.1758,0.0583,1.7094,0.5521,0.0978,2.4177,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000040.jpg,1904,1071,3.1714,0.0542,1.5768,0.8037,0.0965,2.5313,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000041.jpg,1904,1071,3.169,0.0551,1.7608,1.3986,0.1011,3.3157,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000042.jpg,1904,1071,3.2088,0.0564,1.6017,1.6149,0.098,3.3712,6,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000043.jpg,1904,1071,3.0499,0.054,1.5972,2.2083,0.0983,3.9578,8,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000361_02323_v/0000044.jpg,1904,1071,3.1555,0.0555,1.5819,1.9212,0.0972,3.6559,7,0
